Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
10 meters hdmi no warranty,10329,Cables & wirings,2.000,799.00,0.000,0.00,0.00,799.00,340.00,459.00,57.45%,0.00
12 Hours Programmable Timer Socket CX-05 12 Hours,10376,Vendo & pisonet parts Accessories,1.000,195.00,0.000,0.00,0.00,195.00,138.17,56.83,29.14%,0.00
120gb suki ssd assorted set only (Discount),10298,No category,8.000,5412.00,0.000,0.00,0.00,5412.00,5100.40,311.60,5.76%,0.00
120gb suki ssd assorted set only (Ws),10684,No category,1.000,650.00,0.000,0.00,0.00,650.00,637.55,12.45,1.92%,58.50
120gb used ssd kingston & samsung 5d warranty (discount),10112,Big Letter,3.000,1950.00,0.000,0.00,0.00,1950.00,1605.00,345.00,17.69%,0.00
128GB M.2 NVME SSD SOMNAMBULIST (DISCOUNT),10561,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,549.39,270.61,33.00%,0.00
128GB M.2 NVME SSD SOMNAMBULIST (WS),10720,Ssd & storage,3.000,2420.00,0.000,0.00,0.00,2420.00,0.00,2420.00,100.00%,0.00
128GB SSD HIKSEMI WAVE (DISCOUNT),10100,Ssd & storage,4.000,4760.00,0.000,0.00,0.00,4760.00,0.00,4760.00,100.00%,0.00
128GB SSD HIKSEMI WAVE (DISCOUNT),10162,Ssd & storage,2.000,2770.00,0.000,0.00,0.00,2770.00,0.00,2770.00,100.00%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2552),10147,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2599),10877,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2600),10871,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2626),10878,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2629),10886,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2675),10875,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2676),10883,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2681),10884,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2692),10885,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2709),10874,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2710),10876,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2711),10872,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2724),10881,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2730),10880,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2752),10870,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX244009Z2759),10879,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0121),10868,Ssd & storage,2.000,1970.00,0.000,0.00,0.00,1970.00,1100.00,870.00,44.16%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0147),10866,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0148),10863,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0149),10864,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0150),10869,Ssd & storage,2.000,2000.00,0.000,0.00,0.00,2000.00,1100.00,900.00,45.00%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0151),10856,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0152),10858,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0153),10860,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0154),10861,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0155),10862,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0176),10859,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0177),10855,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0178),10865,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0179),10867,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD HKC SHADOWINGS (SKSRX256019Z0180),10857,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD RAMSTA (DISCOUNT),10016,Ssd & storage,1.000,1199.00,0.000,0.00,0.00,1199.00,0.00,1199.00,100.00%,0.00
128GB SSD RAMSTA (RFX442001WA00912),11417,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR491301SA01551),11270,Ssd & storage,2.000,1570.00,0.000,0.00,0.00,1570.00,0.00,1570.00,100.00%,0.00
128GB SSD RAMSTA (RLR491301SA01552),10842,Ssd & storage,2.000,1640.00,0.000,0.00,0.00,1640.00,1100.00,540.00,32.93%,0.00
128GB SSD RAMSTA (RLR491301SA01553),10844,Ssd & storage,2.000,1640.00,0.000,0.00,0.00,1640.00,1100.00,540.00,32.93%,0.00
128GB SSD RAMSTA (RLR491301SA01554),11271,Ssd & storage,2.000,1640.00,0.000,0.00,0.00,1640.00,0.00,1640.00,100.00%,0.00
128GB SSD RAMSTA (RLR491301SA01558),11279,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR491301SA01560),11274,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR491301SA01563),11277,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR491301SA01569),11523,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR491301SA01591),11272,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR491301SA01597),11273,Ssd & storage,2.000,1640.00,0.000,0.00,0.00,1640.00,0.00,1640.00,100.00%,0.00
128GB SSD RAMSTA (RLR491301SA04558),10762,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,550.00,270.00,32.93%,0.00
128GB SSD RAMSTA (RLR4A2501SA04705),12152,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4A2501SA04711),12127,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4A2501SA04715),12157,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4A2501SA04716),12151,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4A2501SA04717),12148,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4A2501SA04718),12149,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4A2501SA04719),12150,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
